# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
1.510000000000000000e+02 4.211236695091132788e+03 1.142713096704140174e-01 -2.509237085984258897e+02
1.520000000000000000e+02 4.214244773291570709e+03 1.078826279200362642e-01 -2.509237107590259370e+02
1.530000000000000000e+02 4.207952389997638420e+03 9.522582000408869041e-02 -2.509197180583411466e+02
1.540000000000000000e+02 4.192103158103150236e+03 8.747178300365066050e-02 -2.509077023541210565e+02
1.550000000000000000e+02 4.167071305804669464e+03 9.013192252313662056e-02 -2.509036657284181899e+02
1.560000000000000000e+02 4.133904809730817760e+03 9.185637721673931000e-02 -2.509236194569979261e+02
1.570000000000000000e+02 4.094379907890674076e+03 8.367813968151031900e-02 -2.509475930976767586e+02
1.580000000000000000e+02 4.050994747941422247e+03 8.145071463583730687e-02 -2.509155469437866373e+02
1.590000000000000000e+02 4.006703419124940865e+03 5.781667999109939282e-02 -2.509155007214064597e+02
1.600000000000000000e+02 3.964539221140023528e+03 5.815506972051529000e-02 -2.509314419014197881e+02
1.610000000000000000e+02 3.927128342005784816e+03 5.745276859719822271e-02 -2.509314240596791592e+02
1.620000000000000000e+02 3.896298754272927454e+03 6.001310796803925596e-02 -2.508954406571806715e+02
1.630000000000000000e+02 3.872961015390029388e+03 6.112298548729852565e-02 -2.509314166868761617e+02
1.640000000000000000e+02 3.857358304886789483e+03 6.621474415390475599e-02 -2.508674615553774174e+02
1.650000000000000000e+02 3.849493016380921290e+03 7.077677157460458834e-02 -2.508394703247600148e+02
1.660000000000000000e+02 3.849499115277838882e+03 7.522683107572773753e-02 -2.508554317424417377e+02
1.670000000000000000e+02 3.857783437871478782e+03 7.569724494035873219e-02 -2.508593860245644862e+02
1.680000000000000000e+02 3.874804696593600966e+03 7.890347468914650497e-02 -2.508353982027693974e+02
1.690000000000000000e+02 3.900519033009933082e+03 8.201168397755227712e-02 -2.508754052305240805e+02
1.700000000000000000e+02 3.933962064630959048e+03 8.736799337223037643e-02 -2.508314624126217893e+02
1.710000000000000000e+02 3.973117820463428870e+03 1.023504191512168149e-01 -2.508514915048596379e+02
1.720000000000000000e+02 4.015163869965228514e+03 1.074026609067765675e-01 -2.508475692655761975e+02
1.730000000000000000e+02 4.056935797292887401e+03 1.116084638047743355e-01 -2.508356210288672230e+02
1.740000000000000000e+02 4.095520519823720406e+03 1.142423550054143949e-01 -2.507676987885608639e+02
1.750000000000000000e+02 4.128715501047658108e+03 1.184124448168621391e-01 -2.507956894376685284e+02
1.760000000000000000e+02 4.155231016012709915e+03 1.160128360119089125e-01 -2.508037000978131346e+02
1.770000000000000000e+02 4.174775559666093613e+03 1.237567532812841736e-01 -2.508116843101873314e+02
1.780000000000000000e+02 4.187942661137686628e+03 1.280665711540960039e-01 -2.508116424738617241e+02
1.790000000000000000e+02 4.196011028347355932e+03 1.291824809207682279e-01 -2.507636341092400869e+02
1.800000000000000000e+02 4.200493505989879850e+03 1.335443696583880901e-01 -2.507596065752190384e+02
1.810000000000000000e+02 4.202676610727558909e+03 1.354239410778639019e-01 -2.507796013644854440e+02
1.820000000000000000e+02 4.203251588703892594e+03 1.433297566344196583e-01 -2.507835965157952103e+02
1.830000000000000000e+02 4.202169269284709117e+03 1.415913204474852916e-01 -2.507876163629811970e+02
1.840000000000000000e+02 4.198914535635772154e+03 1.417892183465161715e-01 -2.507876209314291032e+02
1.850000000000000000e+02 4.192840570607840164e+03 1.386576624994486640e-01 -2.507676471736984070e+02
1.860000000000000000e+02 4.183511514579844516e+03 1.459511860299657071e-01 -2.507756689481372803e+02
1.870000000000000000e+02 4.170814175939253801e+03 1.492173685775596836e-01 -2.508276215650222696e+02
1.880000000000000000e+02 4.154914345139819488e+03 1.494952750490665117e-01 -2.508156262395002614e+02
1.890000000000000000e+02 4.136141937632384725e+03 1.506345696738546069e-01 -2.508515974008454918e+02
1.900000000000000000e+02 4.114945442055485728e+03 1.543053404899208392e-01 -2.508475929468035304e+02
1.910000000000000000e+02 4.092044852789776996e+03 1.559182648225417300e-01 -2.508355812585144236e+02
1.920000000000000000e+02 4.068540952705768632e+03 1.592875422508489014e-01 -2.507955767765578798e+02
1.930000000000000000e+02 4.046129802740487321e+03 1.648642037456516940e-01 -2.507795573893277776e+02
1.940000000000000000e+02 4.026850914581075358e+03 1.671750004858512106e-01 -2.507995043759559621e+02
1.950000000000000000e+02 4.012473245882788433e+03 1.717025893604235132e-01 -2.507914960110768732e+02
1.960000000000000000e+02 4.003665272569252465e+03 1.754226708761968678e-01 -2.508195074280714891e+02
1.970000000000000000e+02 3.999579525180155088e+03 1.784333318679160729e-01 -2.507835823631572509e+02
1.980000000000000000e+02 3.998027218165275826e+03 1.812659969170512808e-01 -2.507956414944686117e+02
1.990000000000000000e+02 3.996241704899539855e+03 1.830020736760991640e-01 -2.507797233237459693e+02
2.000000000000000000e+02 3.991766457854288092e+03 1.836124671104874817e-01 -2.507637863910190106e+02
2.010000000000000000e+02 3.983027165797618181e+03 1.840462052226087553e-01 -2.507158354395899096e+02
2.020000000000000000e+02 3.969600583618745532e+03 1.820122277314494552e-01 -2.507318069170164563e+02
2.030000000000000000e+02 3.952256768009690404e+03 1.750941062287863503e-01 -2.507317550745233348e+02
2.040000000000000000e+02 3.932811936926581438e+03 1.625190632908335708e-01 -2.507237187705517840e+02
2.050000000000000000e+02 3.913870349174700550e+03 1.537954414546504056e-01 -2.507276556425685783e+02
2.060000000000000000e+02 3.898352132702606923e+03 1.514488271469107139e-01 -2.507356044059356464e+02
2.070000000000000000e+02 3.888987773933859899e+03 1.540871195751572498e-01 -2.507555450352989226e+02
2.080000000000000000e+02 3.887789017048054575e+03 1.548658773370270858e-01 -2.507675082387219163e+02
2.090000000000000000e+02 3.895684912819303463e+03 1.513937016586170692e-01 -2.507195449246320038e+02
2.100000000000000000e+02 3.912456141138782186e+03 1.618585688970465841e-01 -2.507755208518720451e+02
2.110000000000000000e+02 3.936972164532181068e+03 1.706904553438417793e-01 -2.507555582315815172e+02
2.120000000000000000e+02 3.967530518682864567e+03 1.671641352184418672e-01 -2.507396004681676800e+02
2.130000000000000000e+02 4.002257694555658873e+03 1.619826199668114308e-01 -2.507556459378186275e+02
2.140000000000000000e+02 4.039392951531647668e+03 1.592538194811646823e-01 -2.507876759435681038e+02
2.150000000000000000e+02 4.077561912948247027e+03 1.493866673153057267e-01 -2.507716924843235518e+02
2.160000000000000000e+02 4.115834789282470410e+03 1.467508513587839902e-01 -2.507876900171960699e+02
2.170000000000000000e+02 4.153717665555742315e+03 1.413505281173251527e-01 -2.508036688799311094e+02
2.180000000000000000e+02 4.190924299876628538e+03 1.393928330351260902e-01 -2.508396579519859131e+02
2.190000000000000000e+02 4.227102779207972162e+03 1.395890911387678013e-01 -2.508116616350030483e+02
2.200000000000000000e+02 4.261620606536436753e+03 1.438841549086656291e-01 -2.507717177720171549e+02
2.210000000000000000e+02 4.293433500905564870e+03 1.477707298240361067e-01 -2.507717415386044877e+02
2.220000000000000000e+02 4.321177199671808012e+03 1.469754843279313106e-01 -2.507917598351814092e+02
2.230000000000000000e+02 4.343410018107583710e+03 1.442612587639546529e-01 -2.507517987742815251e+02
2.240000000000000000e+02 4.358926446672636303e+03 1.404308548791214362e-01 -2.508037795417218092e+02
2.250000000000000000e+02 4.366989737909059841e+03 1.404982586524652355e-01 -2.507997900233391420e+02
2.260000000000000000e+02 4.367489781283571574e+03 1.418101887716564091e-01 -2.507877944754642385e+02
2.270000000000000000e+02 4.360855925259429569e+03 1.396192035758767880e-01 -2.507478108232003535e+02
2.280000000000000000e+02 4.347821441261872678e+03 1.359655758170270901e-01 -2.507517942564201405e+02
2.290000000000000000e+02 4.329138015766057833e+03 1.349868385239702817e-01 -2.508157583322683024e+02
2.300000000000000000e+02 4.305414442961208806e+03 1.268124452679249559e-01 -2.507957708048068071e+02
2.310000000000000000e+02 4.277165941140180621e+03 1.254957062328928008e-01 -2.508157612909934073e+02
2.320000000000000000e+02 4.244966203805307487e+03 1.124449185217130248e-01 -2.507957680185334084e+02
2.330000000000000000e+02 4.209613603506954860e+03 1.103081832468680995e-01 -2.508117521202831597e+02
2.340000000000000000e+02 4.172240805628629460e+03 1.053542272385489392e-01 -2.508117025326953637e+02
2.350000000000000000e+02 4.134238701390394453e+03 1.110864095189184053e-01 -2.507837093017519123e+02
2.360000000000000000e+02 4.097251672596983553e+03 1.060168277612087429e-01 -2.507676877373858417e+02
2.370000000000000000e+02 4.063072799004029548e+03 1.048284360196495568e-01 -2.508116249738546344e+02
2.380000000000000000e+02 4.033530999421272554e+03 1.010169393688534339e-01 -2.508155907300640024e+02
2.390000000000000000e+02 4.010236289545436193e+03 9.601957156131725457e-02 -2.508195502463077560e+02
2.400000000000000000e+02 3.994222624257558437e+03 1.147403459896410016e-01 -2.508035527577426080e+02
2.410000000000000000e+02 3.985448113881675454e+03 1.127455963922897042e-01 -2.507636015190545891e+02
2.420000000000000000e+02 3.982613299909316083e+03 1.060309731923944343e-01 -2.507356930336569292e+02
2.430000000000000000e+02 3.983339019953475599e+03 1.022169397774145838e-01 -2.506997773079718854e+02
2.440000000000000000e+02 3.984697829203865695e+03 9.556553552569381493e-02 -2.507198218138129562e+02
2.450000000000000000e+02 3.983891407451881150e+03 9.486475092937959874e-02 -2.506998813765290208e+02
2.460000000000000000e+02 3.978679898356643207e+03 9.247857122983157985e-02 -2.507239244879764044e+02
2.470000000000000000e+02 3.967603848451024078e+03 8.580559415602556639e-02 -2.506879669854375265e+02
2.480000000000000000e+02 3.950047348385750411e+03 7.927462036340923723e-02 -2.507079676432751683e+02
2.490000000000000000e+02 3.926259090266432395e+03 7.440024170690896776e-02 -2.506839750240352487e+02
2.500000000000000000e+02 3.897339322774191714e+03 6.798384401077119110e-02 -2.507079109755445074e+02
2.510000000000000000e+02 3.865332155017087189e+03 5.931257897191658662e-02 -2.507158369695811473e+02
2.520000000000000000e+02 3.833147664796981644e+03 5.420103115221610451e-02 -2.507357334455926718e+02
2.530000000000000000e+02 3.804159881467366176e+03 5.965632872665563302e-02 -2.507396800179325282e+02
2.540000000000000000e+02 3.781554769260926150e+03 5.127081361385080194e-02 -2.507396192321921262e+02
2.550000000000000000e+02 3.767622916988825637e+03 4.007801408206672356e-02 -2.507076264376543406e+02
2.560000000000000000e+02 3.763068239802897551e+03 3.594431033868245723e-02 -2.506756830599378247e+02
2.570000000000000000e+02 3.766944418777828105e+03 3.215775263187309330e-02 -2.506957155777167259e+02
2.580000000000000000e+02 3.777183985667993511e+03 2.917623487838541876e-02 -2.506957570108475295e+02
